project_type,location_tier,total_area_sqft,num_floors,structure_type,material_quality,num_workers,site_condition,cost_inr,duration_days
Infrastructure,Tier2,3592,5,Prefabricated,Basic,197,Difficult,7080000.0,30.0
Commercial,Tier2,24449,3,Load Bearing,Premium,187,Difficult,85748000.0,266.0
Residential,Tier3,5120,2,Steel Frame,Basic,42,Moderate,7708000.0,182.0
Residential,Tier3,9437,15,Prefabricated,Standard,185,Easy,23355000.0,100.0
Infrastructure,Tier2,24811,1,Load Bearing,Premium,9,Difficult,94484000.0,1500.0
Commercial,Tier2,41345,6,Prefabricated,Standard,24,Moderate,117683000.0,1500.0
Residential,Tier2,24394,16,Steel Frame,Basic,185,Moderate,62215000.0,319.0
Commercial,Tier2,46572,12,Load Bearing,Premium,151,Difficult,199933000.0,849.0
Industrial,Tier3,11451,9,RCC,Standard,91,Easy,23374000.0,216.0
Commercial,Tier3,4246,2,RCC,Standard,23,Easy,7366000.0,271.0
Industrial,Tier1,29908,15,Load Bearing,Basic,171,Difficult,81149000.0,500.0
Residential,Tier2,34589,1,Prefabricated,Basic,199,Difficult,61729000.0,218.0
Residential,Tier2,14488,6,Steel Frame,Standard,52,Moderate,42381000.0,451.0
Residential,Tier1,39240,10,Prefabricated,Basic,167,Easy,98536000.0,348.0
Industrial,Tier1,26342,4,Steel Frame,Basic,200,Difficult,70652000.0,227.0
Commercial,Tier2,5599,8,Prefabricated,Standard,44,Moderate,16084000.0,198.0
Infrastructure,Tier3,11614,16,Prefabricated,Standard,92,Difficult,32090000.0,304.0
Infrastructure,Tier3,44529,17,Steel Frame,Basic,66,Easy,91510000.0,1500.0
Infrastructure,Tier1,43030,20,RCC,Premium,154,Easy,276755000.0,720.0
Industrial,Tier2,23964,18,Steel Frame,Basic,13,Moderate,64895000.0,1500.0
Infrastructure,Tier1,14434,16,Load Bearing,Basic,80,Moderate,35380000.0,458.0
Residential,Tier3,21834,16,Steel Frame,Standard,189,Easy,64966000.0,234.0
Industrial,Tier3,8305,12,Steel Frame,Standard,132,Difficult,24041000.0,136.0
Infrastructure,Tier2,1897,6,Load Bearing,Premium,39,Moderate,6763000.0,95.0
Industrial,Tier1,15418,3,Steel Frame,Standard,8,Difficult,61608000.0,1500.0
Commercial,Tier3,10503,10,Prefabricated,Basic,45,Moderate,18262000.0,416.0
Infrastructure,Tier2,30817,6,Prefabricated,Basic,86,Moderate,59441000.0,578.0
Infrastructure,Tier2,47410,16,RCC,Premium,61,Easy,214322000.0,1500.0
Industrial,Tier1,37547,10,Load Bearing,Basic,152,Moderate,84778000.0,543.0
Infrastructure,Tier1,13841,7,RCC,Basic,97,Moderate,34832000.0,259.0
Infrastructure,Tier2,42005,2,Load Bearing,Premium,196,Moderate,144876000.0,372.0
Infrastructure,Tier1,1114,5,Steel Frame,Standard,95,Difficult,4437000.0,30.0
Infrastructure,Tier1,30520,11,RCC,Standard,160,Moderate,106051000.0,395.0
Residential,Tier1,30961,3,RCC,Standard,137,Difficult,93859000.0,429.0
Commercial,Tier2,2406,15,Steel Frame,Basic,184,Difficult,6768000.0,30.0
Infrastructure,Tier1,10247,14,Load Bearing,Premium,41,Easy,50611000.0,605.0
Infrastructure,Tier1,35814,14,RCC,Premium,106,Moderate,202702000.0,820.0
Infrastructure,Tier3,43826,15,Prefabricated,Basic,5,Difficult,88214000.0,1500.0
Residential,Tier3,47656,16,Load Bearing,Standard,22,Difficult,120250000.0,1500.0
Infrastructure,Tier1,37256,12,RCC,Standard,120,Easy,124592000.0,626.0
Commercial,Tier3,48584,1,RCC,Premium,50,Moderate,142213000.0,1298.0
Industrial,Tier2,22054,10,RCC,Premium,56,Moderate,91794000.0,871.0
Infrastructure,Tier3,18201,7,Load Bearing,Standard,126,Moderate,34095000.0,295.0
Infrastructure,Tier3,47785,2,Prefabricated,Premium,105,Moderate,155472000.0,574.0
Industrial,Tier3,10061,4,RCC,Premium,142,Difficult,30072000.0,128.0
Commercial,Tier2,19859,15,RCC,Standard,156,Moderate,56621000.0,317.0
Commercial,Tier2,16785,18,Load Bearing,Basic,57,Easy,30111000.0,789.0
Residential,Tier2,20117,19,RCC,Basic,43,Difficult,47412000.0,1263.0
Infrastructure,Tier3,6526,1,Load Bearing,Standard,42,Easy,9668000.0,221.0
Infrastructure,Tier3,31300,2,Prefabricated,Standard,79,Moderate,61567000.0,550.0
Residential,Tier1,44828,17,Load Bearing,Basic,200,Difficult,126972000.0,616.0
Infrastructure,Tier1,38514,7,Prefabricated,Basic,69,Moderate,96270000.0,876.0
Industrial,Tier3,48215,3,Load Bearing,Standard,162,Moderate,75522000.0,476.0
Infrastructure,Tier1,17294,8,Prefabricated,Basic,160,Difficult,45574000.0,197.0
Commercial,Tier3,31900,18,RCC,Premium,190,Difficult,144294000.0,458.0
Residential,Tier2,49600,3,RCC,Standard,107,Difficult,124472000.0,753.0
Industrial,Tier2,19402,9,Prefabricated,Premium,79,Moderate,87314000.0,418.0
Residential,Tier2,48759,11,Load Bearing,Premium,131,Easy,193976000.0,741.0
Commercial,Tier2,13191,11,Load Bearing,Basic,62,Moderate,21986000.0,495.0
Commercial,Tier3,12560,2,RCC,Standard,60,Moderate,25035000.0,301.0
Infrastructure,Tier1,38592,14,Steel Frame,Premium,16,Easy,270139000.0,1500.0
Infrastructure,Tier2,6060,15,RCC,Standard,38,Moderate,18321000.0,361.0
Residential,Tier2,36081,2,Steel Frame,Basic,148,Easy,64561000.0,303.0
Residential,Tier1,43365,5,Steel Frame,Standard,135,Easy,142065000.0,416.0
Industrial,Tier2,30086,12,RCC,Premium,154,Difficult,156394000.0,471.0
Infrastructure,Tier2,29276,17,Prefabricated,Standard,83,Difficult,110382000.0,824.0
Residential,Tier3,23789,13,Steel Frame,Standard,66,Moderate,68476000.0,696.0
Infrastructure,Tier2,29685,17,Steel Frame,Standard,193,Difficult,112760000.0,415.0
Industrial,Tier1,40102,4,Prefabricated,Basic,84,Easy,83404000.0,581.0
Infrastructure,Tier2,25154,9,RCC,Premium,200,Moderate,106706000.0,260.0
Industrial,Tier2,11083,7,RCC,Standard,180,Easy,29028000.0,109.0
Industrial,Tier2,12237,3,Steel Frame,Standard,199,Difficult,39283000.0,96.0
Commercial,Tier1,29934,1,Load Bearing,Standard,133,Easy,79398000.0,342.0
Industrial,Tier2,14466,17,Prefabricated,Standard,152,Easy,44400000.0,196.0
Industrial,Tier2,41321,12,Steel Frame,Premium,188,Moderate,218889000.0,468.0
Industrial,Tier2,46448,15,Prefabricated,Premium,112,Moderate,236177000.0,789.0
Infrastructure,Tier3,4888,6,Steel Frame,Basic,139,Moderate,8843000.0,51.0
Industrial,Tier3,42603,16,RCC,Standard,136,Easy,98681000.0,765.0
Residential,Tier3,4386,12,Prefabricated,Standard,44,Moderate,10859000.0,170.0
Industrial,Tier2,29147,1,Load Bearing,Standard,112,Moderate,62781000.0,447.0
Residential,Tier2,21078,2,Load Bearing,Standard,190,Moderate,44521000.0,191.0
Residential,Tier3,35022,11,RCC,Premium,79,Easy,115562000.0,851.0
Commercial,Tier1,21474,4,RCC,Premium,161,Easy,98563000.0,186.0
Industrial,Tier1,20045,3,Steel Frame,Basic,187,Easy,47307000.0,134.0
Infrastructure,Tier1,27885,19,Prefabricated,Basic,137,Easy,79366000.0,450.0
Infrastructure,Tier2,26333,1,Load Bearing,Premium,68,Difficult,94138000.0,638.0
Commercial,Tier2,43102,10,Prefabricated,Basic,183,Difficult,95685000.0,477.0
Industrial,Tier2,10314,12,Load Bearing,Premium,94,Easy,37943000.0,255.0
Commercial,Tier1,7087,3,Steel Frame,Basic,149,Moderate,16872000.0,64.0
Industrial,Tier1,37700,12,Steel Frame,Basic,147,Difficult,123958000.0,524.0
Infrastructure,Tier2,27892,3,Prefabricated,Premium,166,Moderate,111717000.0,242.0
Industrial,Tier2,21449,1,Prefabricated,Basic,27,Moderate,36965000.0,884.0
Commercial,Tier2,46199,4,Prefabricated,Basic,144,Moderate,74859000.0,479.0
Industrial,Tier2,37166,4,Steel Frame,Basic,136,Difficult,76573000.0,416.0
Residential,Tier1,4863,9,Steel Frame,Premium,21,Easy,28876000.0,370.0
Industrial,Tier1,16941,17,Steel Frame,Standard,70,Moderate,88245000.0,505.0
Infrastructure,Tier2,9496,20,Prefabricated,Standard,128,Moderate,32663000.0,166.0
Industrial,Tier3,21744,7,Steel Frame,Standard,48,Difficult,59666000.0,872.0
Industrial,Tier3,35169,16,Load Bearing,Premium,44,Difficult,124802000.0,1500.0
Commercial,Tier1,7558,5,Prefabricated,Standard,94,Difficult,26904000.0,131.0
Infrastructure,Tier3,530,3,Steel Frame,Basic,34,Easy,705000.0,30.0
Residential,Tier1,21546,5,RCC,Basic,43,Difficult,46974000.0,876.0
Commercial,Tier3,44293,8,Steel Frame,Premium,118,Moderate,181732000.0,695.0
Residential,Tier3,42127,12,Steel Frame,Basic,26,Moderate,81067000.0,1500.0
Infrastructure,Tier1,6675,4,Prefabricated,Basic,125,Difficult,15198000.0,89.0
Infrastructure,Tier3,15041,18,Prefabricated,Standard,79,Difficult,47299000.0,440.0
Residential,Tier1,34581,17,Prefabricated,Basic,163,Easy,96282000.0,436.0
Infrastructure,Tier1,12505,17,Prefabricated,Basic,145,Moderate,40027000.0,180.0
Industrial,Tier3,37381,9,RCC,Standard,188,Easy,77548000.0,338.0
Commercial,Tier3,42879,8,Prefabricated,Premium,14,Moderate,149977000.0,1500.0
Commercial,Tier2,22808,6,Steel Frame,Basic,175,Difficult,51476000.0,248.0
Commercial,Tier2,18179,15,RCC,Premium,184,Moderate,88301000.0,220.0
Industrial,Tier3,25154,4,Prefabricated,Basic,199,Moderate,36580000.0,194.0
Infrastructure,Tier2,19438,7,Load Bearing,Premium,192,Moderate,69374000.0,193.0
Industrial,Tier1,30355,13,Steel Frame,Standard,93,Easy,132889000.0,593.0
Residential,Tier2,14700,8,Load Bearing,Basic,135,Easy,24348000.0,219.0
Industrial,Tier1,13968,7,RCC,Premium,66,Easy,71680000.0,373.0
Residential,Tier3,4787,2,Load Bearing,Premium,12,Difficult,13772000.0,740.0
Commercial,Tier3,17515,5,Steel Frame,Premium,197,Easy,62557000.0,113.0
Infrastructure,Tier1,12219,8,Steel Frame,Standard,53,Moderate,47814000.0,409.0
Commercial,Tier2,1508,19,RCC,Standard,142,Difficult,5241000.0,31.0
Commercial,Tier2,27111,1,Load Bearing,Standard,69,Difficult,60874000.0,729.0
Residential,Tier2,9207,2,Prefabricated,Basic,151,Difficult,18076000.0,92.0
Commercial,Tier2,18895,18,RCC,Premium,50,Easy,85882000.0,927.0
Residential,Tier3,5802,14,Load Bearing,Standard,110,Easy,11951000.0,132.0
Industrial,Tier2,44928,7,RCC,Premium,185,Moderate,179197000.0,461.0
Infrastructure,Tier1,9069,19,Steel Frame,Premium,22,Difficult,78320000.0,1084.0
Residential,Tier2,36364,5,RCC,Premium,122,Moderate,132476000.0,562.0
Industrial,Tier1,37905,14,Steel Frame,Standard,94,Moderate,186253000.0,790.0
Industrial,Tier3,3511,9,Load Bearing,Standard,155,Moderate,6739000.0,48.0
Residential,Tier3,36352,6,Load Bearing,Standard,44,Moderate,70684000.0,1500.0
Residential,Tier2,3595,1,Load Bearing,Standard,172,Easy,6683000.0,32.0
Infrastructure,Tier1,13892,14,Prefabricated,Standard,19,Moderate,61690000.0,1500.0
Residential,Tier3,45203,15,Load Bearing,Basic,195,Difficult,74507000.0,721.0
Infrastructure,Tier1,46881,2,Steel Frame,Premium,70,Easy,244868000.0,805.0
Industrial,Tier3,8476,9,RCC,Premium,60,Easy,26198000.0,258.0
Commercial,Tier2,8880,6,Steel Frame,Premium,103,Difficult,49796000.0,153.0
Commercial,Tier2,11391,5,RCC,Standard,118,Easy,23118000.0,141.0
Residential,Tier3,13510,16,RCC,Basic,167,Easy,22978000.0,199.0
Commercial,Tier1,12990,12,RCC,Standard,46,Difficult,50558000.0,714.0
Infrastructure,Tier3,16740,2,Steel Frame,Premium,153,Difficult,68103000.0,157.0
Residential,Tier3,32108,18,RCC,Basic,164,Easy,50783000.0,492.0
Infrastructure,Tier2,7960,18,Load Bearing,Standard,80,Moderate,23672000.0,271.0
Residential,Tier2,32608,20,Prefabricated,Premium,82,Easy,177575000.0,895.0
Residential,Tier2,27229,10,Load Bearing,Basic,14,Moderate,47193000.0,1500.0
Infrastructure,Tier2,30071,17,RCC,Standard,19,Easy,95140000.0,1500.0
Industrial,Tier1,5614,12,Prefabricated,Premium,51,Moderate,35443000.0,200.0
Commercial,Tier1,44679,8,Steel Frame,Premium,77,Difficult,345816000.0,1074.0
Infrastructure,Tier2,47406,17,Prefabricated,Premium,145,Moderate,247360000.0,663.0
Infrastructure,Tier1,16789,15,RCC,Premium,180,Moderate,107311000.0,218.0
Industrial,Tier3,45831,16,Load Bearing,Premium,46,Easy,148040000.0,1500.0
Commercial,Tier2,36769,5,RCC,Premium,179,Easy,120345000.0,300.0
Residential,Tier3,5383,7,RCC,Basic,195,Easy,7783000.0,45.0
Industrial,Tier1,41553,14,Steel Frame,Basic,56,Easy,128188000.0,1385.0
Industrial,Tier2,37825,11,Load Bearing,Basic,123,Difficult,66992000.0,710.0
Residential,Tier2,25436,7,Prefabricated,Basic,129,Easy,45071000.0,281.0
Industrial,Tier1,20437,14,RCC,Standard,124,Difficult,88523000.0,422.0
Infrastructure,Tier3,559,8,Load Bearing,Basic,163,Difficult,762000.0,30.0
Infrastructure,Tier1,20754,10,Load Bearing,Standard,144,Moderate,69893000.0,346.0
Commercial,Tier2,46657,18,Prefabricated,Premium,158,Moderate,270913000.0,718.0
Residential,Tier3,16966,7,Steel Frame,Premium,54,Easy,69023000.0,431.0
Industrial,Tier1,31579,1,Prefabricated,Premium,77,Difficult,187059000.0,495.0
Industrial,Tier3,23414,15,Load Bearing,Basic,177,Easy,35352000.0,307.0
Residential,Tier1,7749,20,Prefabricated,Premium,134,Difficult,63859000.0,136.0
Infrastructure,Tier1,28694,2,Steel Frame,Premium,134,Easy,159393000.0,241.0
Commercial,Tier3,27701,18,Load Bearing,Basic,185,Difficult,49616000.0,515.0
Residential,Tier3,10735,2,Load Bearing,Premium,75,Difficult,30729000.0,246.0
Commercial,Tier2,36112,9,Prefabricated,Basic,134,Difficult,81147000.0,500.0
Infrastructure,Tier1,37579,1,Prefabricated,Basic,11,Difficult,99629000.0,1500.0
Industrial,Tier3,2275,15,Steel Frame,Standard,46,Easy,6710000.0,106.0
Residential,Tier1,1979,10,Steel Frame,Standard,105,Moderate,9223000.0,32.0
Commercial,Tier1,7275,19,Prefabricated,Standard,90,Moderate,34246000.0,168.0
Industrial,Tier1,12657,5,Steel Frame,Standard,34,Moderate,48860000.0,629.0
Industrial,Tier3,6001,18,Prefabricated,Basic,145,Moderate,11214000.0,90.0
Commercial,Tier2,28298,3,RCC,Basic,45,Moderate,41187000.0,1045.0
Industrial,Tier2,663,4,Prefabricated,Basic,86,Moderate,1145000.0,30.0
Industrial,Tier2,25336,2,Load Bearing,Premium,40,Moderate,85660000.0,1020.0
Infrastructure,Tier1,29888,1,Steel Frame,Basic,148,Moderate,77703000.0,282.0
Residential,Tier3,10116,7,Prefabricated,Premium,130,Difficult,41907000.0,122.0
Infrastructure,Tier1,30914,15,Steel Frame,Standard,60,Easy,129776000.0,1113.0
Industrial,Tier1,9506,17,Load Bearing,Basic,115,Easy,21983000.0,222.0
Commercial,Tier1,29472,9,Prefabricated,Standard,143,Moderate,117298000.0,318.0
Industrial,Tier2,1911,8,Prefabricated,Premium,197,Difficult,9114000.0,30.0
Infrastructure,Tier1,29512,9,Prefabricated,Standard,141,Easy,115592000.0,298.0
Commercial,Tier2,19765,14,Load Bearing,Basic,81,Easy,34509000.0,604.0
Commercial,Tier2,49000,11,Prefabricated,Basic,94,Difficult,118757000.0,930.0
Residential,Tier2,6652,20,RCC,Premium,58,Moderate,34480000.0,329.0
Infrastructure,Tier3,18943,4,Load Bearing,Standard,144,Moderate,29588000.0,231.0
Infrastructure,Tier3,19163,16,Prefabricated,Basic,44,Easy,33757000.0,851.0
Commercial,Tier2,5595,4,Prefabricated,Premium,152,Difficult,26149000.0,53.0
Industrial,Tier2,3973,1,RCC,Standard,78,Moderate,8467000.0,70.0
Infrastructure,Tier2,8632,10,Load Bearing,Premium,111,Easy,35003000.0,161.0
Residential,Tier2,6473,11,Prefabricated,Basic,88,Moderate,13031000.0,146.0
Industrial,Tier1,30571,2,Load Bearing,Premium,45,Moderate,136777000.0,1221.0
Infrastructure,Tier3,1943,1,Steel Frame,Standard,80,Moderate,4177000.0,30.0
Residential,Tier2,38492,15,Steel Frame,Standard,166,Difficult,146124000.0,537.0
Infrastructure,Tier1,25982,13,Prefabricated,Standard,198,Moderate,111128000.0,233.0
Commercial,Tier3,41943,16,Load Bearing,Premium,94,Difficult,173170000.0,1320.0
Commercial,Tier2,9917,10,Load Bearing,Basic,88,Moderate,17829000.0,251.0
Infrastructure,Tier3,36181,3,Prefabricated,Premium,86,Difficult,125438000.0,622.0
Infrastructure,Tier1,47220,13,Load Bearing,Premium,5,Moderate,237609000.0,1500.0
Infrastructure,Tier2,46144,5,Prefabricated,Premium,183,Easy,168322000.0,349.0
Residential,Tier1,35803,17,Load Bearing,Standard,88,Easy,131125000.0,1106.0
Commercial,Tier1,49555,7,RCC,Premium,104,Easy,264290000.0,862.0
Industrial,Tier2,864,19,RCC,Standard,56,Easy,2794000.0,36.0
Commercial,Tier2,10401,16,Load Bearing,Basic,193,Moderate,19317000.0,143.0
Residential,Tier2,33471,16,RCC,Premium,43,Difficult,180003000.0,1500.0
Residential,Tier1,29115,15,Steel Frame,Basic,42,Easy,86987000.0,1332.0
Industrial,Tier3,11540,4,Steel Frame,Premium,168,Difficult,43770000.0,102.0
Residential,Tier1,17026,10,Steel Frame,Premium,38,Difficult,134979000.0,865.0
Infrastructure,Tier1,25611,14,Prefabricated,Standard,95,Moderate,111351000.0,482.0
Industrial,Tier3,565,15,Prefabricated,Basic,191,Moderate,947000.0,30.0
Infrastructure,Tier2,5695,20,Steel Frame,Basic,195,Moderate,14655000.0,79.0
Residential,Tier2,10458,17,Steel Frame,Basic,13,Difficult,26717000.0,1500.0
Industrial,Tier3,26607,7,RCC,Premium,81,Moderate,91920000.0,616.0
Commercial,Tier2,45486,10,Steel Frame,Premium,168,Easy,219151000.0,502.0
Commercial,Tier2,16181,10,Prefabricated,Premium,10,Moderate,79534000.0,1500.0
Residential,Tier1,21997,11,Load Bearing,Basic,89,Difficult,56176000.0,594.0
Residential,Tier1,5194,14,RCC,Basic,119,Moderate,12716000.0,107.0
Commercial,Tier1,18945,4,Prefabricated,Basic,76,Easy,43840000.0,309.0
Industrial,Tier2,21399,20,Prefabricated,Premium,156,Difficult,125676000.0,329.0
Residential,Tier1,36477,9,RCC,Premium,106,Easy,198373000.0,614.0
Residential,Tier1,34405,14,Load Bearing,Standard,144,Difficult,127217000.0,673.0
Commercial,Tier1,5140,9,Steel Frame,Standard,17,Moderate,21938000.0,535.0
Infrastructure,Tier1,26442,17,Load Bearing,Standard,110,Moderate,99989000.0,713.0
Industrial,Tier2,43204,9,Load Bearing,Basic,135,Moderate,76771000.0,765.0
Commercial,Tier1,21719,5,Prefabricated,Standard,56,Easy,72094000.0,550.0
Infrastructure,Tier2,49749,1,RCC,Premium,178,Easy,169345000.0,391.0
Commercial,Tier2,30199,18,Load Bearing,Standard,200,Moderate,85931000.0,473.0
Commercial,Tier2,9218,17,Steel Frame,Basic,163,Easy,20667000.0,123.0
Residential,Tier2,8853,8,Steel Frame,Standard,121,Difficult,31018000.0,128.0
Commercial,Tier2,32759,8,Load Bearing,Standard,8,Moderate,80109000.0,1500.0
Residential,Tier2,44723,18,Steel Frame,Basic,16,Moderate,123082000.0,1500.0
Industrial,Tier2,41327,14,Load Bearing,Basic,43,Moderate,73788000.0,1500.0
Industrial,Tier2,34275,9,Prefabricated,Standard,60,Moderate,100436000.0,1043.0
Industrial,Tier2,47854,12,RCC,Premium,123,Easy,194281000.0,848.0
Commercial,Tier3,35673,1,Load Bearing,Premium,17,Easy,93515000.0,1500.0
Residential,Tier2,22687,1,Prefabricated,Standard,133,Difficult,65372000.0,237.0
Infrastructure,Tier2,29789,2,Steel Frame,Premium,53,Easy,132531000.0,746.0
Residential,Tier2,18068,12,Steel Frame,Premium,16,Moderate,105994000.0,1500.0
Residential,Tier1,35897,19,Prefabricated,Basic,69,Moderate,108618000.0,1083.0
Industrial,Tier2,14649,2,Steel Frame,Premium,108,Easy,65549000.0,162.0
Industrial,Tier1,35994,12,Load Bearing,Premium,40,Moderate,187467000.0,1500.0
Residential,Tier2,2807,3,Steel Frame,Premium,17,Moderate,12252000.0,258.0
Infrastructure,Tier3,18218,4,RCC,Basic,173,Easy,21913000.0,155.0
Industrial,Tier3,4963,19,RCC,Standard,160,Easy,12333000.0,71.0
Industrial,Tier1,14159,4,Load Bearing,Standard,67,Easy,35075000.0,325.0
Commercial,Tier1,26044,10,Steel Frame,Premium,134,Moderate,177821000.0,352.0
Industrial,Tier2,30285,14,Steel Frame,Standard,71,Easy,105148000.0,816.0
Commercial,Tier2,6919,4,Load Bearing,Standard,94,Easy,14061000.0,132.0
Commercial,Tier2,17746,9,RCC,Premium,126,Moderate,73697000.0,280.0
Infrastructure,Tier3,10104,11,RCC,Standard,31,Easy,21093000.0,625.0
Industrial,Tier1,41971,9,Steel Frame,Standard,39,Moderate,168213000.0,1500.0
Infrastructure,Tier1,36037,7,Prefabricated,Basic,191,Easy,87873000.0,288.0
Industrial,Tier1,10503,7,RCC,Premium,186,Easy,55003000.0,98.0
Commercial,Tier2,49355,7,Steel Frame,Basic,186,Easy,95660000.0,373.0
Residential,Tier1,48575,8,Prefabricated,Basic,124,Easy,120393000.0,602.0
Industrial,Tier2,28101,9,Steel Frame,Standard,166,Easy,80715000.0,301.0
Industrial,Tier3,21513,19,Prefabricated,Premium,58,Difficult,102031000.0,949.0
Industrial,Tier1,6539,20,RCC,Standard,23,Difficult,29848000.0,773.0
Infrastructure,Tier1,37764,11,Steel Frame,Basic,6,Easy,114190000.0,1500.0
Commercial,Tier1,7857,6,Steel Frame,Standard,86,Difficult,37432000.0,169.0
Infrastructure,Tier3,36018,8,Prefabricated,Premium,7,Easy,123315000.0,1500.0
Industrial,Tier1,10087,20,Steel Frame,Basic,88,Difficult,35566000.0,287.0
Commercial,Tier3,37017,8,Steel Frame,Premium,189,Easy,146787000.0,328.0
Infrastructure,Tier3,35530,15,Prefabricated,Premium,65,Difficult,155815000.0,1132.0
Commercial,Tier2,41236,12,RCC,Basic,95,Difficult,92193000.0,1070.0
Commercial,Tier3,15946,10,Load Bearing,Standard,184,Moderate,30253000.0,213.0
Commercial,Tier2,1613,8,Steel Frame,Premium,171,Easy,7240000.0,30.0
Industrial,Tier3,16922,8,RCC,Premium,40,Difficult,58246000.0,914.0
Residential,Tier2,45165,5,Load Bearing,Standard,9,Moderate,86499000.0,1500.0
Infrastructure,Tier3,18689,1,Prefabricated,Premium,130,Moderate,58386000.0,163.0
Commercial,Tier2,7181,19,Steel Frame,Standard,6,Easy,26404000.0,1500.0
Industrial,Tier1,32839,3,RCC,Standard,34,Difficult,113816000.0,1500.0
Commercial,Tier1,25096,12,RCC,Premium,40,Easy,131237000.0,1377.0
Commercial,Tier3,30875,17,Prefabricated,Premium,173,Moderate,135519000.0,381.0
Commercial,Tier1,24126,8,Steel Frame,Standard,180,Difficult,110783000.0,243.0
Residential,Tier2,23940,11,RCC,Premium,102,Easy,100859000.0,428.0
Industrial,Tier1,18380,7,Prefabricated,Standard,191,Difficult,79425000.0,174.0
Industrial,Tier3,24797,10,Steel Frame,Standard,191,Difficult,77275000.0,278.0
Residential,Tier1,19468,13,Load Bearing,Premium,8,Difficult,108247000.0,1500.0
Commercial,Tier1,24408,19,Steel Frame,Standard,39,Difficult,129011000.0,1500.0
Industrial,Tier3,24067,16,Prefabricated,Premium,121,Easy,103327000.0,352.0
Residential,Tier1,46309,18,Steel Frame,Premium,167,Easy,316742000.0,586.0
Industrial,Tier1,30970,11,Load Bearing,Premium,147,Easy,157763000.0,480.0
Residential,Tier2,28059,1,Load Bearing,Premium,196,Difficult,95589000.0,256.0
Commercial,Tier2,12497,20,Prefabricated,Standard,144,Easy,41890000.0,201.0
Infrastructure,Tier1,34449,18,Load Bearing,Standard,83,Easy,112962000.0,1053.0
Residential,Tier1,42255,1,RCC,Premium,81,Moderate,200557000.0,733.0
Industrial,Tier2,36701,15,RCC,Standard,57,Moderate,104088000.0,1500.0
Residential,Tier2,24644,11,RCC,Premium,35,Difficult,122914000.0,1498.0
Industrial,Tier2,13832,16,Load Bearing,Standard,195,Easy,34168000.0,188.0
Industrial,Tier1,34130,5,Prefabricated,Basic,72,Difficult,81538000.0,716.0
Commercial,Tier3,18269,14,Load Bearing,Standard,146,Moderate,39468000.0,345.0
Commercial,Tier1,36614,4,Load Bearing,Standard,70,Difficult,111201000.0,1038.0
Infrastructure,Tier2,30574,16,Load Bearing,Standard,177,Easy,73742000.0,444.0
Infrastructure,Tier3,15679,1,RCC,Premium,15,Easy,44813000.0,1270.0
Commercial,Tier1,18481,19,Load Bearing,Standard,172,Difficult,72112000.0,352.0
Residential,Tier2,41917,12,Load Bearing,Standard,181,Difficult,126667000.0,562.0
Industrial,Tier3,22797,14,RCC,Standard,45,Difficult,58880000.0,1396.0
